"driver_id","constructor_id","round","grid","position","status","pos_gained","round_points","accumulated_points","PI","PI_adj"
"norris","mclaren",6,"9","5","Finished",4,14.3329870099961,91.9683214675726,8.39339053271769,8.39540671092696
"alonso","alpine",6,"8","6","Finished",2,12.5658738793486,39.877258224059,3.63935533787653,3.62641815418273
"tsunoda","alphatauri",6,"7","7","Finished",0,11.0166280232844,34.3976304126352,3.13926296409719,3.12778388375797
"sainz","ferrari",6,"5","8","Finished",-3,9.65838859825537,72.4448295501847,6.61159991601308,6.61641335058744
"ricciardo","mclaren",6,"13","9","Finished",4,8.46760643254417,58.7895474514392,5.36536519453225,5.36851647819777
"raikkonen","alfa",6,"14","10","Finished",4,7.42363573043798,33.1403009767756,3.0245141373811,3.0202763898187
"giovinazzi","alfa",6,"20","11","Finished",9,6.5083761151706,33.5746487761384,3.06415442491602,3.06204696735359
"bottas","mercedes",6,"10","12","Finished",-2,5.70595880436931,66.5115125105443,6.07010207987296,6.08456387087221
"mick_schumacher","haas",6,"17","13","Finished",4,5.00247147691252,19.8816894970096,1.81448113584928,1.81089089383733
"mazepin","haas",6,"18","14","Finished",4,4.3857170609365,16.8309768738601,1.53606110990357,1.53247225576157
"hamilton","mercedes",6,"2","15","Finished",-13,3.84500226085464,108.915370654878,9.94004485821153,9.97192956965429
"latifi","williams",6,"16","16","Finished",0,3.37095215686815,17.7603553531741,1.62087984319246,1.61992580475302
"russell","williams",6,"15","17","Gearbox",-2,2.9553476624922,21.7549918787822,1.98544607491943,1.99261181756511
"max_verstappen","red_bull",6,"3","18","Accident",-15,2.59098302193428,114.923619414613,10.4883812576745,10.6692876838243
"stroll","aston_martin",6,"19","19","Accident",0,2.27154087661232,39.9060469796682,3.6419827128783,3.68936569248771
"ocon","alpine",6,"12","20","Turbo",-8,1.99148273471456,43.413401532544,3.96207767633126,4.01945664437709
"max_verstappen","red_bull",7,"1","1","Finished",0,24.2612263885053,139.184845803119,10.8879052676873,10.8835329160101
"hamilton","mercedes",7,"2","2","Finished",0,21.2700612052228,130.185431860101,10.1839150745675,10.1796753644693
"perez","red_bull",7,"4","3","Finished",1,18.6476766025428,110.78046441469,8.66593769672101,8.66039373503413
"bottas","mercedes",7,"3","4","Finished",-1,16.3486056442394,82.8601181547837,6.48183436733346,6.47388895740423
"norris","mclaren",7,"8","5","Finished",3,14.3329870099961,106.301308477569,8.31555023003116,8.31714735964908
"ricciardo","mclaren",7,"10","6","Finished",4,12.5658738793486,71.3554213307878,5.58186534821828,5.57759837081786
"gasly","alphatauri",7,"6","7","Finished",-1,11.0166280232844,71.0494256518284,5.55792846094001,5.55596318330204
"alonso","alpine",7,"9","8","Finished",1,9.65838859825537,49.5356468223143,3.87498672619782,3.87001535475751
"vettel","aston_martin",7,"12","9","Finished",3,8.46760643254417,61.7656021232975,4.83168997917632,4.83178853526963
"stroll","aston_martin",7,"19","10","Finished",9,7.42363573043798,47.3296827101061,3.70242247799212,3.70216134228203
"sainz","ferrari",7,"5","11","Finished",-6,6.5083761151706,78.9532056653553,6.17621134617344,6.18501538626172
"russell","williams",7,"14","12","+1 Lap",2,5.70595880436931,27.4609506831515,2.14816654696533,2.14505545237732
"tsunoda","alphatauri",7,"0","13","+1 Lap",-13,5.00247147691252,39.4001018895478,3.08212129298499,3.08303454480044
"ocon","alpine",7,"11","14","+1 Lap",-3,4.3857170609365,47.7991185934805,3.73914467571372,3.74475091508699
"giovinazzi","alfa",7,"13","15","+1 Lap",-2,3.84500226085464,37.419651036993,2.92719809609882,2.92989507352392
"leclerc","ferrari",7,"7","16","+1 Lap",-9,3.37095215686815,79.5399995829979,6.22211402006069,6.23659575149152
"raikkonen","alfa",7,"17","17","+1 Lap",0,2.9553476624922,36.0956486392678,2.82362638469991,2.82755938480228
"latifi","williams",7,"16","18","+1 Lap",-2,2.59098302193428,20.3513383751083,1.59200840450882,1.5925667525137
"mick_schumacher","haas",7,"15","19","+1 Lap",-4,2.27154087661232,22.1532303736219,1.7329636160422,1.7345221615981
"mazepin","haas",7,"18","20","+1 Lap",-2,1.99148273471456,18.8224596085747,1.47240998788706,1.47361123324455
"max_verstappen","red_bull",8,"1","1","Finished",0,24.2612263885053,163.446072191624,11.187548275197,11.1814679680132
"hamilton","mercedes",8,"2","2","Finished",0,21.2700612052228,151.455493065324,10.3668177368345,10.3630748893872
"bottas","mercedes",8,"5","3","Finished",2,18.6476766025428,101.507794757327,6.94800027268304,6.93851804637747
"perez","red_bull",8,"4","4","Finished",0,16.3486056442394,127.129070058929,8.70172399614295,8.70089739092077
"norris","mclaren",8,"3","5","+1 Lap",-2,14.3329870099961,120.634295487565,8.25717000301626,8.25836955014892
"sainz","ferrari",8,"12","6","+1 Lap",6,12.5658738793486,91.5190795447039,6.26429321169356,6.26270765518493
"leclerc","ferrari",8,"7","7","+1 Lap",0,11.0166280232844,90.5566276062823,6.19841535131265,6.19917895931623
"stroll","aston_martin",8,"9","8","+1 Lap",1,9.65838859825537,56.9880713083615,3.90071655025879,3.89674544609926
"alonso","alpine",8,"8","9","+1 Lap",-1,8.46760643254417,58.0032532548585,3.97020367149856,3.96819990516374
"tsunoda","alphatauri",8,"11","10","+1 Lap",1,7.42363573043798,46.8237376199857,3.20498876494624,3.20254968054332
"raikkonen","alfa",8,"18","11","+1 Lap",7,6.5083761151706,42.6040247544384,2.91615807750436,2.91438610365032
"vettel","aston_martin",8,"14","12","+1 Lap",2,5.70595880436931,67.4715609276668,4.61828990418436,4.62255987680607
"ricciardo","mclaren",8,"13","13","+1 Lap",0,5.00247147691252,76.3578928077003,5.22654108797996,5.23356223363672
"ocon","alpine",8,"17","14","+1 Lap",3,4.3857170609365,52.184835654417,3.57194492525057,3.5754010450473
"giovinazzi","alfa",8,"15","15","+1 Lap",0,3.84500226085464,41.2646532978476,2.82448084948593,2.82658913396669
"mick_schumacher","haas",8,"19","16","+2 Laps",3,3.37095215686815,25.52418253049,1.74707792249675,1.74682680727878
"latifi","williams",8,"16","17","+3 Laps",-1,2.9553476624922,23.3066860376005,1.59529483752181,1.595022029021
"mazepin","haas",8,"20","18","+3 Laps",2,2.59098302193428,21.4134426305089,1.46570621095204,1.46649671318129
"russell","williams",8,"10","19","Engine",-9,2.27154087661232,29.7324915597638,2.03512804074462,2.04612078190789
"gasly","alphatauri",8,"6","20","Collision",-14,1.99148273471456,73.0409083865429,4.99950031029601,5.05514659759661
"max_verstappen","red_bull",9,"1","1","Finished",0,24.2612263885053,187.707298580129,11.4206039477045,11.4158212281107
"bottas","mercedes",9,"5","2","Finished",3,21.2700612052228,122.777855962549,7.47012650601866,7.45949433682583
"norris","mclaren",9,"2","3","Finished",-1,18.6476766025428,139.281972090108,8.47428018158447,8.46996196895576
"hamilton","mercedes",9,"4","4","Finished",0,16.3486056442394,167.804098709563,10.2096411096414,10.2127097852363
"sainz","ferrari",9,"10","5","Finished",5,14.3329870099961,105.8520665547,6.44031712305116,6.43676493369384
"perez","red_bull",9,"3","6","Finished",-3,12.5658738793486,139.694943938278,8.49940647105311,8.50343628945046
"ricciardo","mclaren",9,"13","7","Finished",6,11.0166280232844,87.3745208309847,5.31609481932401,5.31444416761026
"leclerc","ferrari",9,"12","8","Finished",4,9.65838859825537,100.215016204538,6.09734420740297,6.09938090244123
"gasly","alphatauri",9,"6","9","Finished",-3,8.46760643254417,81.5085148190871,4.9591916412191,4.96111074034665
